ID	lineage	domain	phylum	class	order	family	genus	species
UNIPROT:A0A0C9NIG9_9BACT/1-278	d__Bacteria;p__Planctomycetota;c__CandidatusBrocadiia;o__CandidatusBrocadiales;f__CandidatusBrocadiaceae;g__CandidatusBrocadia;s__CandidatusBrocadiasinica	d__Bacteria	p__Planctomycetota	c__CandidatusBrocadiia	o__CandidatusBrocadiales	f__CandidatusBrocadiaceae	g__CandidatusBrocadia	s__CandidatusBrocadiasinica
UNIPROT:A0A0D5NPY1_9BACL/2-248	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Paenibacillus	s__
UNIPROT:A0A0D8JB83_9BACT/1-269	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Marinilabiliales;f__Prolixibacteraceae;g__Draconibacterium;s__	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Marinilabiliales	f__Prolixibacteraceae	g__Draconibacterium	s__
UNIPROT:A0A0E3LBI0_9EURY/97-359	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcinasiciliae	d__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcinasiciliae
UNIPROT:A0A0F6W0K4_9DELT/1-263	d__Bacteria;p__Myxococcota;c__;o__Polyangiales;f__Sandaracinaceae;g__Sandaracinus;s__	d__Bacteria	p__Myxococcota	c__	o__Polyangiales	f__Sandaracinaceae	g__Sandaracinus	s__
UNIPROT:A0A0G0BAL3_9BACT/37-296	d__Bacteria;p__;c__;o__;f__;g__;s__	d__Bacteria	p__	c__	o__	f__	g__	s__
UNIPROT:A0A0G1V088_9BACT/1-245	d__Bacteria;p__;c__;o__;f__;g__;s__	d__Bacteria	p__	c__	o__	f__	g__	s__
UNIPROT:A0A0J1EPV5_RHOIS/13-303	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Rhodopirellula;s__	d__Bacteria	p__Planctomycetota	c__Planctomycetia	o__Pirellulales	f__Pirellulaceae	g__Rhodopirellula	s__
UNIPROT:A0A0K2SH08_LIMPI/1-253	d__Bacteria;p__Bacillota;c__Limnochordia;o__Limnochordales;f__Limnochordaceae;g__Limnochorda;s__	d__Bacteria	p__Bacillota	c__Limnochordia	o__Limnochordales	f__Limnochordaceae	g__Limnochorda	s__
UNIPROT:A0A0K8PAQ2_9CHLR/199-472	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Flexilinea;s__	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__Flexilinea	s__
UNIPROT:A0A0K8QYP2_9BACT/13-284	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__	g__	s__
UNIPROT:A0A0M2NIS7_9FIRM/1-265	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Christensenellaceae;g__Christensenella;s__	d__Bacteria	p__Bacillota	c__Clostridia	o__Eubacteriales	f__Christensenellaceae	g__Christensenella	s__
UNIPROT:A0A0M2U579_9FIRM/1-207	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__;g__;s__	d__Bacteria	p__Bacillota	c__Clostridia	o__Eubacteriales	f__	g__	s__
UNIPROT:A0A0S7WMW3_9CHLR/1-286	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__;f__;g__;s__	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__	f__	g__	s__
UNIPROT:A0A0S7YN96_9DELT/1-270	d__Bacteria;p__;c__Deltaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__	c__Deltaproteobacteria	o__	f__	g__	s__
UNIPROT:A0A0S8B0P4_9BACT/1-249	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;s__	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Gemmatimonas	s__
UNIPROT:A0A0S8JXC0_9BACT/1-269	d__Bacteria;p__BacteriadivisionWOR-3;c__;o__;f__;g__;s__	d__Bacteria	p__BacteriadivisionWOR-3	c__	o__	f__	g__	s__
UNIPROT:A0A0U1KVC3_9FIRM/1-254	d__Bacteria;p__Bacillota;c__Negativicutes;o__Selenomonadales;f__Sporomusaceae;g__Sporomusa;s__	d__Bacteria	p__Bacillota	c__Negativicutes	o__Selenomonadales	f__Sporomusaceae	g__Sporomusa	s__
UNIPROT:A0A101HLC1_9BACT/1-267	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Proteiniphilum;s__	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Dysgonomonadaceae	g__Proteiniphilum	s__
UNIPROT:A0A101VFJ8_9FIRM/1-269	d__Bacteria;p__Bacillota;c__Clostridia;o__Moorellales;f__Desulfitibacteraceae;g__Desulfitibacter;s__	d__Bacteria	p__Bacillota	c__Clostridia	o__Moorellales	f__Desulfitibacteraceae	g__Desulfitibacter	s__
UNIPROT:A0A133U9F8_9EURY/1-249	d__Archaea;p__Euryarchaeota;c__;o__;f__;g__;s__	d__Archaea	p__Euryarchaeota	c__	o__	f__	g__	s__
UNIPROT:A0A135VQC0_9ARCH/1-270	d__Archaea;p__CandidatusThorarchaeota;c__;o__;f__;g__;s__	d__Archaea	p__CandidatusThorarchaeota	c__	o__	f__	g__	s__
UNIPROT:A0A140LCW5_9FIRM/1-259	d__Bacteria;p__Bacillota;c__Clostridia;o__Thermosediminibacterales;f__Thermosediminibacteraceae;g__Fervidicola;s__	d__Bacteria	p__Bacillota	c__Clostridia	o__Thermosediminibacterales	f__Thermosediminibacteraceae	g__Fervidicola	s__
UNIPROT:A0A142BER3_9GAMM/1-264	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Oceanospirillales;f__Endozoicomonadaceae;g__Endozoicomonas;s__Endozoicomonasmontiporae	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Oceanospirillales	f__Endozoicomonadaceae	g__Endozoicomonas	s__Endozoicomonasmontiporae
UNIPROT:A0A142BI71_9GAMM/1-266	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Oceanospirillales;f__Endozoicomonadaceae;g__Endozoicomonas;s__Endozoicomonasmontiporae	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Oceanospirillales	f__Endozoicomonadaceae	g__Endozoicomonas	s__Endozoicomonasmontiporae
UNIPROT:A0A142VCN0_9CHLR/1-278	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalococcoides;s__	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__Dehalococcoidaceae	g__Dehalococcoides	s__
UNIPROT:A0A142YLZ5_9PLAN/1-295	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Planctomyces;s__	d__Bacteria	p__Planctomycetota	c__Planctomycetia	o__Planctomycetales	f__Planctomycetaceae	g__Planctomyces	s__
UNIPROT:A0A143PQD7_LUTPR/1-267	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae;g__Luteitalea;s__	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__Vicinamibacteraceae	g__Luteitalea	s__
UNIPROT:A0A151F9H8_THEAD/1-282	d__Archaea;p__Euryarchaeota;c__Theionarchaea;o__;f__;g__;s__	d__Archaea	p__Euryarchaeota	c__Theionarchaea	o__	f__	g__	s__
UNIPROT:A0A154BP03_ANASB/1-273	d__Bacteria;p__Bacillota;c__Negativicutes;o__Selenomonadales;f__Sporomusaceae;g__Anaerosporomusa;s__	d__Bacteria	p__Bacillota	c__Negativicutes	o__Selenomonadales	f__Sporomusaceae	g__Anaerosporomusa	s__
UNIPROT:A0A165Q6V6_9HYPH/1-280	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Stappiaceae;g__Pseudovibrio;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Stappiaceae	g__Pseudovibrio	s__
UNIPROT:A0A176RYB0_9GAMM/1-272	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiomargarita;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Thiotrichales	f__Thiotrichaceae	g__Thiomargarita	s__
UNIPROT:A0A1D8TMV1_9CYAN/1-254	d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Oscillatoriales;f__Oscillatoriaceae;g__Moorena;s__Moorenaproducens	d__Bacteria	p__Cyanobacteriota	c__Cyanophyceae	o__Oscillatoriales	f__Oscillatoriaceae	g__Moorena	s__Moorenaproducens
UNIPROT:A0A1F2X461_9ACTN/1-284	d__Bacteria;p__Actinomycetota;c__;o__;f__;g__;s__	d__Bacteria	p__Actinomycetota	c__	o__	f__	g__	s__
UNIPROT:A0A1F2X6P7_9ACTN/1-252	d__Bacteria;p__Actinomycetota;c__;o__;f__;g__;s__	d__Bacteria	p__Actinomycetota	c__	o__	f__	g__	s__
UNIPROT:A0A1F2XD04_9ACTN/1-235	d__Bacteria;p__Actinomycetota;c__;o__;f__;g__;s__	d__Bacteria	p__Actinomycetota	c__	o__	f__	g__	s__
UNIPROT:A0A1F3B3Z0_9BACT/2-288	d__Bacteria;p__Armatimonadota;c__;o__;f__;g__;s__	d__Bacteria	p__Armatimonadota	c__	o__	f__	g__	s__
UNIPROT:A0A1F3BAJ8_9BACT/1-239	d__Bacteria;p__Armatimonadota;c__;o__;f__;g__;s__	d__Bacteria	p__Armatimonadota	c__	o__	f__	g__	s__
UNIPROT:A0A1F3IXP3_9BACT/1-277	d__Bacteria;p__Bacteroidota;c__;o__;f__;g__;s__	d__Bacteria	p__Bacteroidota	c__	o__	f__	g__	s__
UNIPROT:A0A1F3JG52_9BACT/1-205	d__Bacteria;p__Bacteroidota;c__;o__;f__;g__;s__	d__Bacteria	p__Bacteroidota	c__	o__	f__	g__	s__
UNIPROT:A0A1F3KC26_9BACT/1-212	d__Bacteria;p__Bacteroidota;c__;o__;f__;g__;s__	d__Bacteria	p__Bacteroidota	c__	o__	f__	g__	s__
UNIPROT:A0A1F3M1I7_9BACT/5-274	d__Bacteria;p__Bacteroidota;c__;o__;f__;g__;s__	d__Bacteria	p__Bacteroidota	c__	o__	f__	g__	s__
UNIPROT:A0A1F3T7X6_9PROT/8-278	d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__;g__;s__	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__	g__	s__
UNIPROT:A0A1F4PZ34_9BACT/1-300	d__Bacteria;p__candidatedivisionNC10;c__;o__;f__;g__;s__	d__Bacteria	p__candidatedivisionNC10	c__	o__	f__	g__	s__
UNIPROT:A0A1F4ZUI2_9BACT/1-251	d__Bacteria;p__CandidatusAmesbacteria;c__;o__;f__;g__;s__	d__Bacteria	p__CandidatusAmesbacteria	c__	o__	f__	g__	s__
UNIPROT:A0A1F5B1U9_9BACT/1-285	d__Bacteria;p__CandidatusAminicenantes;c__;o__;f__;g__;s__	d__Bacteria	p__CandidatusAminicenantes	c__	o__	f__	g__	s__
UNIPROT:A0A1F5UY14_FRAXR/1-281	d__Bacteria;p__CandidatusFraserbacteria;c__;o__;f__;g__;s__	d__Bacteria	p__CandidatusFraserbacteria	c__	o__	f__	g__	s__
UNIPROT:A0A1F6D0E3_HANXR/1-250	d__Bacteria;p__CandidatusHandelsmanbacteria;c__;o__;f__;g__;s__	d__Bacteria	p__CandidatusHandelsmanbacteria	c__	o__	f__	g__	s__
UNIPROT:A0A1F6GPC9_9PROT/1-265	d__Bacteria;p__Pseudomonadota;c__CandidatusLambdaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__CandidatusLambdaproteobacteria	o__	f__	g__	s__
UNIPROT:A0A1F7L8Y2_9BACT/1-243	d__Bacteria;p__CandidatusRokubacteria;c__;o__;f__;g__;s__	d__Bacteria	p__CandidatusRokubacteria	c__	o__	f__	g__	s__
UNIPROT:A0A1F7RCZ7_9BACT/1-274	d__Bacteria;p__CandidatusSchekmanbacteria;c__;o__;f__;g__;s__	d__Bacteria	p__CandidatusSchekmanbacteria	c__	o__	f__	g__	s__
UNIPROT:A0A1F8LB04_9CHLR/1-257	d__Bacteria;p__Chloroflexota;c__;o__;f__;g__;s__	d__Bacteria	p__Chloroflexota	c__	o__	f__	g__	s__
UNIPROT:A0A1F8MBE8_9CHLR/1-281	d__Bacteria;p__Chloroflexota;c__;o__;f__;g__;s__	d__Bacteria	p__Chloroflexota	c__	o__	f__	g__	s__
UNIPROT:A0A1F8N5D9_9CHLR/1-276	d__Bacteria;p__Chloroflexota;c__;o__;f__;g__;s__	d__Bacteria	p__Chloroflexota	c__	o__	f__	g__	s__
UNIPROT:A0A1F8NL92_9CHLR/1-224	d__Bacteria;p__Chloroflexota;c__;o__;f__;g__;s__	d__Bacteria	p__Chloroflexota	c__	o__	f__	g__	s__
UNIPROT:A0A1F8NS90_9CHLR/1-248	d__Bacteria;p__Chloroflexota;c__;o__;f__;g__;s__	d__Bacteria	p__Chloroflexota	c__	o__	f__	g__	s__
UNIPROT:A0A1F8P4S2_9CHLR/1-299	d__Bacteria;p__Chloroflexota;c__;o__;f__;g__;s__	d__Bacteria	p__Chloroflexota	c__	o__	f__	g__	s__
UNIPROT:A0A1F8RPA7_9CHLR/1-262	d__Bacteria;p__Chloroflexota;c__;o__;f__;g__;s__	d__Bacteria	p__Chloroflexota	c__	o__	f__	g__	s__
UNIPROT:A0A1F8RPH8_9CHLR/1-268	d__Bacteria;p__Chloroflexota;c__;o__;f__;g__;s__	d__Bacteria	p__Chloroflexota	c__	o__	f__	g__	s__
UNIPROT:A0A1F8RQI8_9CHLR/1-267	d__Bacteria;p__Chloroflexota;c__;o__;f__;g__;s__	d__Bacteria	p__Chloroflexota	c__	o__	f__	g__	s__
UNIPROT:A0A1F8TDV9_9CHLR/193-458	d__Bacteria;p__Chloroflexota;c__;o__;f__;g__;s__	d__Bacteria	p__Chloroflexota	c__	o__	f__	g__	s__
UNIPROT:A0A1F8TK56_9CHLR/1-252	d__Bacteria;p__Chloroflexota;c__;o__;f__;g__;s__	d__Bacteria	p__Chloroflexota	c__	o__	f__	g__	s__
UNIPROT:A0A1F8YQC4_9DELT/1-279	d__Bacteria;p__;c__Deltaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__	c__Deltaproteobacteria	o__	f__	g__	s__
UNIPROT:A0A1F9AJQ1_9DELT/1-266	d__Bacteria;p__;c__Deltaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__	c__Deltaproteobacteria	o__	f__	g__	s__
UNIPROT:A0A1F9BNB0_9DELT/1-252	d__Bacteria;p__;c__Deltaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__	c__Deltaproteobacteria	o__	f__	g__	s__
UNIPROT:A0A1F9CNF9_9DELT/1-284	d__Bacteria;p__;c__Deltaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__	c__Deltaproteobacteria	o__	f__	g__	s__
UNIPROT:A0A1F9KK61_9DELT/1-286	d__Bacteria;p__;c__Deltaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__	c__Deltaproteobacteria	o__	f__	g__	s__
UNIPROT:A0A1F9ND39_9DELT/1-218	d__Bacteria;p__;c__Deltaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__	c__Deltaproteobacteria	o__	f__	g__	s__
UNIPROT:A0A1F9UE99_9BACT/1-247	d__Bacteria;p__Elusimicrobiota;c__;o__;f__;g__;s__	d__Bacteria	p__Elusimicrobiota	c__	o__	f__	g__	s__
UNIPROT:A0A1F9YB30_9BACT/1-266	d__Bacteria;p__Elusimicrobiota;c__;o__;f__;g__;s__	d__Bacteria	p__Elusimicrobiota	c__	o__	f__	g__	s__
UNIPROT:A0A1G0RGD5_9BACT/1-273	d__Bacteria;p__Ignavibacteriota;c__Ignavibacteria;o__;f__;g__;s__	d__Bacteria	p__Ignavibacteriota	c__Ignavibacteria	o__	f__	g__	s__
UNIPROT:A0A1G0XEG4_9BACT/1-264	d__Bacteria;p__Lentisphaerota;c__;o__;f__;g__;s__	d__Bacteria	p__Lentisphaerota	c__	o__	f__	g__	s__
UNIPROT:A0A1G1D5H6_9BACT/1-260	d__Bacteria;p__Nitrospinota;c__;o__;f__;g__;s__	d__Bacteria	p__Nitrospinota	c__	o__	f__	g__	s__
UNIPROT:A0A1G1K957_9BACT/1-295	d__Bacteria;p__CandidatusOmnitrophota;c__;o__;f__;g__;s__	d__Bacteria	p__CandidatusOmnitrophota	c__	o__	f__	g__	s__
UNIPROT:A0A1G2Z7R6_9BACT/2-285	d__Bacteria;p__Planctomycetota;c__;o__;f__;g__;s__	d__Bacteria	p__Planctomycetota	c__	o__	f__	g__	s__
UNIPROT:A0A1G3L5C5_9SPIR/1-207	d__Bacteria;p__Spirochaetota;c__;o__;f__;g__;s__	d__Bacteria	p__Spirochaetota	c__	o__	f__	g__	s__
UNIPROT:A0A1G3L7E4_9SPIR/1-203	d__Bacteria;p__Spirochaetota;c__;o__;f__;g__;s__	d__Bacteria	p__Spirochaetota	c__	o__	f__	g__	s__
UNIPROT:A0A1G3Q7E3_9SPIR/1-213	d__Bacteria;p__Spirochaetota;c__;o__;f__;g__;s__	d__Bacteria	p__Spirochaetota	c__	o__	f__	g__	s__
UNIPROT:A0A1G3R828_9SPIR/1-278	d__Bacteria;p__Spirochaetota;c__;o__;f__;g__;s__	d__Bacteria	p__Spirochaetota	c__	o__	f__	g__	s__
UNIPROT:A0A1G3ZMI8_9BACT/1-287	d__Bacteria;p__Verrucomicrobiota;c__;o__;f__;g__;s__	d__Bacteria	p__Verrucomicrobiota	c__	o__	f__	g__	s__
UNIPROT:A0A1G7R0Q0_9DELT/1-279	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	s__
UNIPROT:A0A1G8HVA1_9RHOO/1-274	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__Propionivibrio;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Rhodocyclales	f__Rhodocyclaceae	g__Propionivibrio	s__
UNIPROT:A0A1G9RIV6_9FIRM/1-271	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Megasphaera;s__	d__Bacteria	p__Bacillota	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__Megasphaera	s__
UNIPROT:A0A1H3UGC3_9BACI/1-258	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Evansella;s__	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Evansella	s__
UNIPROT:A0A1H5K3F5_9FLAO/1-263	d__Bacteria;p__Bacteroidota;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Tenacibaculum;s__	d__Bacteria	p__Bacteroidota	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Tenacibaculum	s__
UNIPROT:A0A1H6EVY3_9ACTN/1-269	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__Nonomuraea;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Streptosporangiales	f__Streptosporangiaceae	g__Nonomuraea	s__
UNIPROT:A0A1I2P1F5_9BACL/1-270	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Thermoactinomycetaceae;g__Planifilum;s__	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Thermoactinomycetaceae	g__Planifilum	s__
UNIPROT:A0A1I4TNN0_9DELT/1-264	d__Bacteria;p__Thermodesulfobacteriota;c__Syntrophobacteria;o__Syntrophobacterales;f__Thermodesulforhabdaceae;g__Thermodesulforhabdus;s__	d__Bacteria	p__Thermodesulfobacteriota	c__Syntrophobacteria	o__Syntrophobacterales	f__Thermodesulforhabdaceae	g__Thermodesulforhabdus	s__
UNIPROT:A0A1I4WHM3_9NEIS/1-260	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Neisseriales;f__Chromobacteriaceae;g__Formivibrio;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Neisseriales	f__Chromobacteriaceae	g__Formivibrio	s__
UNIPROT:A0A1J5A035_9CHLR/200-480	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__;f__;g__;s__	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__	f__	g__	s__
UNIPROT:A0A1J5BDT5_9PROT/1-282	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__	f__	g__	s__
UNIPROT:A0A1J5DYZ7_9DELT/1-216	d__Bacteria;p__;c__Deltaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__	c__Deltaproteobacteria	o__	f__	g__	s__
UNIPROT:A0A1M3LZX8_9PROT/1-253	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Magnetospirillum;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__Magnetospirillum	s__
UNIPROT:A0A1M3ME33_9BACT/1-265	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__Paludibacter;s__	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Paludibacteraceae	g__Paludibacter	s__
UNIPROT:A0A1M6UX80_9FIRM/7-277	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Peptococcaceae;g__Desulforamulus;s__Desulforamulusaeronauticus	d__Bacteria	p__Bacillota	c__Clostridia	o__Eubacteriales	f__Peptococcaceae	g__Desulforamulus	s__Desulforamulusaeronauticus
UNIPROT:A0A1M7M9Y3_9BACT/1-269	d__Bacteria;p__Bacteroidota;c__Cytophagia;o__Cytophagales;f__Cyclobacteriaceae;g__Cyclobacterium;s__	d__Bacteria	p__Bacteroidota	c__Cytophagia	o__Cytophagales	f__Cyclobacteriaceae	g__Cyclobacterium	s__
UNIPROT:A0A1N7EJH0_9ACTN/48-301	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__Microbispora;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Streptosporangiales	f__Streptosporangiaceae	g__Microbispora	s__
