UniprotID	ID	lineage	domain	phylum	class	order	family	genus	species
Q3SEV3	tr|Q3SEV3|Q3SEV3_THIDA/1-141	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Nitrosomonadales;f__Thiobacillaceae;g__Thiobacillus;s__Thiobacillusdenitrificans	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Thiobacillaceae	g__Thiobacillus	s__Thiobacillusdenitrificans
Q3JDJ2	tr|Q3JDJ2|Q3JDJ2_NITOC/10-166	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Nitrosococcus;s__Nitrosococcusoceani	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Chromatiales	f__Chromatiaceae	g__Nitrosococcus	s__Nitrosococcusoceani
Q3A3P2	tr|Q3A3P2|Q3A3P2_SYNC1/1-148	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfuromonadia;o__Desulfuromonadales;f__Syntrophotaleaceae;g__Syntrophotalea;s__Syntrophotaleacarbinolica	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfuromonadia	o__Desulfuromonadales	f__Syntrophotaleaceae	g__Syntrophotalea	s__Syntrophotaleacarbinolica
Q3B274	tr|Q3B274|Q3B274_CHLL3/1-145	d__Bacteria;p__Chlorobiota;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;g__Pelodictyon;s__Pelodictyonluteolum	d__Bacteria	p__Chlorobiota	c__Chlorobiia	o__Chlorobiales	f__Chlorobiaceae	g__Pelodictyon	s__Pelodictyonluteolum
Q3ATK5	tr|Q3ATK5|Q3ATK5_CHLCH/1-142	d__Bacteria;p__Chlorobiota;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobiumchlorochromatii	d__Bacteria	p__Chlorobiota	c__Chlorobiia	o__Chlorobiales	f__Chlorobiaceae	g__Chlorobium	s__Chlorobiumchlorochromatii
Q30TT6	tr|Q30TT6|Q30TT6_SULDN/1-132	d__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfurimonas;s__Sulfurimonasdenitrificans	d__Bacteria	p__Campylobacterota	c__Epsilonproteobacteria	o__Campylobacterales	f__Sulfurimonadaceae	g__Sulfurimonas	s__Sulfurimonasdenitrificans
Q2SPK8	tr|Q2SPK8|Q2SPK8_HAHCH/1-142	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Oceanospirillales;f__Hahellaceae;g__Hahella;s__Hahellachejuensis	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Oceanospirillales	f__Hahellaceae	g__Hahella	s__Hahellachejuensis
Q2LTF6	tr|Q2LTF6|Q2LTF6_SYNAS/1-146	d__Bacteria;p__Thermodesulfobacteriota;c__Syntrophia;o__Syntrophales;f__Syntrophaceae;g__Syntrophus;s__Syntrophusaciditrophicus	d__Bacteria	p__Thermodesulfobacteriota	c__Syntrophia	o__Syntrophales	f__Syntrophaceae	g__Syntrophus	s__Syntrophusaciditrophicus
Q2FQC1	tr|Q2FQC1|Q2FQC1_METHJ/1-143	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanospirillum;s__Methanospirillumhungatei	d__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanospirillaceae	g__Methanospirillum	s__Methanospirillumhungatei
Q21S87	tr|Q21S87|Q21S87_ALBFT/1-143	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Rhodoferax;s__Rhodoferaxferrireducens	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Rhodoferax	s__Rhodoferaxferrireducens
Q21BP5	tr|Q21BP5|Q21BP5_RHOPB/1-151	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Rhodopseudomonas;s__Rhodopseudomonaspalustris	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Nitrobacteraceae	g__Rhodopseudomonas	s__Rhodopseudomonaspalustris
Q1QXH1	tr|Q1QXH1|Q1QXH1_CHRSD/1-138	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Oceanospirillales;f__Halomonadaceae;g__Chromohalobacter;s__Chromohalobactersalexigens	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Chromohalobacter	s__Chromohalobactersalexigens
Q1IME2	tr|Q1IME2|Q1IME2_KORVE/4-150	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Acidobacteriaceae;g__CandidatusKoribacter;s__CandidatusKoribacterversatilis	d__Bacteria	p__Acidobacteriota	c__Terriglobia	o__Terriglobales	f__Acidobacteriaceae	g__CandidatusKoribacter	s__CandidatusKoribacterversatilis
Q1J3F2	tr|Q1J3F2|Q1J3F2_DEIGD/1-147	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus;s__Deinococcusgeothermalis	d__Bacteria	p__Deinococcota	c__Deinococci	o__Deinococcales	f__Deinococcaceae	g__Deinococcus	s__Deinococcusgeothermalis
Q1J2T3	tr|Q1J2T3|Q1J2T3_DEIGD/1-147	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus;s__Deinococcusgeothermalis	d__Bacteria	p__Deinococcota	c__Deinococci	o__Deinococcales	f__Deinococcaceae	g__Deinococcus	s__Deinococcusgeothermalis
Q1J0C6	tr|Q1J0C6|Q1J0C6_DEIGD/1-147	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus;s__Deinococcusgeothermalis	d__Bacteria	p__Deinococcota	c__Deinococci	o__Deinococcales	f__Deinococcaceae	g__Deinococcus	s__Deinococcusgeothermalis
Q1GQM6	tr|Q1GQM6|Q1GQM6_SPHAL/1-150	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__Sphingopyxisalaskensis	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingopyxis	s__Sphingopyxisalaskensis
Q1GQ26	tr|Q1GQ26|Q1GQ26_SPHAL/1-152	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__Sphingopyxisalaskensis	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingopyxis	s__Sphingopyxisalaskensis
A0A0H2Y021	tr|A0A0H2Y021|A0A0H2Y021_BURO1/1-159	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderiaorbicola	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Burkholderia	s__Burkholderiaorbicola
Q1DET0	tr|Q1DET0|Q1DET0_MYXXD/1-135	d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__Myxococcus;s__Myxococcusxanthus	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__Myxococcus	s__Myxococcusxanthus
Q1AS39	tr|Q1AS39|Q1AS39_RUBXD/1-139	d__Bacteria;p__Actinomycetota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter;s__Rubrobacterxylanophilus	d__Bacteria	p__Actinomycetota	c__Rubrobacteria	o__Rubrobacterales	f__Rubrobacteraceae	g__Rubrobacter	s__Rubrobacterxylanophilus
Q11N26	tr|Q11N26|Q11N26_CHESB/1-151	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__Chelativorans;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Phyllobacteriaceae	g__Chelativorans	s__
Q11LJ6	tr|Q11LJ6|Q11LJ6_CHESB/1-151	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__Chelativorans;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Phyllobacteriaceae	g__Chelativorans	s__
Q0A535	tr|Q0A535|Q0A535_ALKEH/1-140	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__Alkalilimnicola;s__Alkalilimnicolaehrlichii	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Chromatiales	f__Ectothiorhodospiraceae	g__Alkalilimnicola	s__Alkalilimnicolaehrlichii
Q0ARZ1	tr|Q0ARZ1|Q0ARZ1_MARMM/1-146	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Maricaulales;f__Maricaulaceae;g__Maricaulis;s__Maricaulismaris	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Maricaulales	f__Maricaulaceae	g__Maricaulis	s__Maricaulismaris
Q01Y96	tr|Q01Y96|Q01Y96_SOLUE/1-131	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Solibacteraceae;g__CandidatusSolibacter;s__Solibacterusitatus	d__Bacteria	p__Acidobacteriota	c__Terriglobia	o__Bryobacterales	f__Solibacteraceae	g__CandidatusSolibacter	s__Solibacterusitatus
A0B5S3	tr|A0B5S3|A0B5S3_METTP/1-132	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix;s__Methanothrixthermoacetophila	d__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanotrichales	f__Methanotrichaceae	g__Methanothrix	s__Methanothrixthermoacetophila
A0LPB9	tr|A0LPB9|A0LPB9_SYNFM/1-148	d__Bacteria;p__Thermodesulfobacteriota;c__Syntrophobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__Syntrophobacter;s__Syntrophobacterfumaroxidans	d__Bacteria	p__Thermodesulfobacteriota	c__Syntrophobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__Syntrophobacter	s__Syntrophobacterfumaroxidans
A0LVV6	tr|A0LVV6|A0LVV6_ACIC1/1-139	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Acidothermales;f__Acidothermaceae;g__Acidothermus;s__Acidothermuscellulolyticus	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Acidothermales	f__Acidothermaceae	g__Acidothermus	s__Acidothermuscellulolyticus
A1AYI6	tr|A1AYI6|A1AYI6_PARDP/1-154	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Paracoccaceae;g__Paracoccus;s__Paracoccusdenitrificans	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Paracoccaceae	g__Paracoccus	s__Paracoccusdenitrificans
A1VQG3	tr|A1VQG3|A1VQG3_POLNA/1-153	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Polaromonas;s__Polaromonasnaphthalenivorans	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Polaromonas	s__Polaromonasnaphthalenivorans
A2SRN4	tr|A2SRN4|A2SRN4_METLZ/1-125	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocorpusculum;s__Methanocorpusculumlabreanum	d__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanocorpusculaceae	g__Methanocorpusculum	s__Methanocorpusculumlabreanum
A6LHP9	tr|A6LHP9|A6LHP9_PARD8/1-140	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroidesdistasonis	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroidesdistasonis
A6X3V4	tr|A6X3V4|A6X3V4_BRUA4/3-158	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Brucellaceae;g__Brucella;s__Brucellaanthropi	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Brucellaceae	g__Brucella	s__Brucellaanthropi
A7I4S9	tr|A7I4S9|A7I4S9_METB6/1-143	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__Methanoregulaboonei	d__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanoregulaceae	g__Methanoregula	s__Methanoregulaboonei
A7HT30	tr|A7HT30|A7HT30_PARL1/1-153	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Parvibaculaceae;g__Parvibaculum;s__Parvibaculumlavamentivorans	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Parvibaculaceae	g__Parvibaculum	s__Parvibaculumlavamentivorans
A7IDN3	tr|A7IDN3|A7IDN3_XANP2/10-165	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Xanthobacteraceae;g__Xanthobacter;s__Xanthobacterautotrophicus	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Xanthobacteraceae	g__Xanthobacter	s__Xanthobacterautotrophicus
A8MGW5	tr|A8MGW5|A8MGW5_ALKOO/1-133	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Alkaliphilus;s__Alkaliphilusoremlandii	d__Bacteria	p__Bacillota	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__Alkaliphilus	s__Alkaliphilusoremlandii
A8MKL8	tr|A8MKL8|A8MKL8_ALKOO/1-133	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Alkaliphilus;s__Alkaliphilusoremlandii	d__Bacteria	p__Bacillota	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__Alkaliphilus	s__Alkaliphilusoremlandii
A8ZYF9	tr|A8ZYF9|A8ZYF9_DESOH/1-145	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosudaceae;g__Desulfosudis;s__Desulfosudisoleivorans	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfobacteria	o__Desulfobacterales	f__Desulfosudaceae	g__Desulfosudis	s__Desulfosudisoleivorans
A9BIG9	tr|A9BIG9|A9BIG9_PETMO/1-150	d__Bacteria;p__Thermotogota;c__Thermotogae;o__Petrotogales;f__Petrotogaceae;g__Petrotoga;s__Petrotogamobilis	d__Bacteria	p__Thermotogota	c__Thermotogae	o__Petrotogales	f__Petrotogaceae	g__Petrotoga	s__Petrotogamobilis
A9BR77	tr|A9BR77|A9BR77_DELAS/1-152	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Delftia;s__Delftiaacidovorans	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Delftia	s__Delftiaacidovorans
A9BX27	tr|A9BX27|A9BX27_DELAS/1-158	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Delftia;s__Delftiaacidovorans	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Delftia	s__Delftiaacidovorans
A9KJA9	tr|A9KJA9|A9KJA9_LACP7/1-136	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lachnoclostridium;s__Lachnoclostridiumphytofermentans	d__Bacteria	p__Bacillota	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnoclostridium	s__Lachnoclostridiumphytofermentans
A9NFH8	tr|A9NFH8|A9NFH8_ACHLI/1-131	d__Bacteria;p__Mycoplasmatota;c__Mollicutes;o__Acholeplasmatales;f__Acholeplasmataceae;g__Acholeplasma;s__Acholeplasmalaidlawii	d__Bacteria	p__Mycoplasmatota	c__Mollicutes	o__Acholeplasmatales	f__Acholeplasmataceae	g__Acholeplasma	s__Acholeplasmalaidlawii
B0SNH4	tr|B0SNH4|B0SNH4_LEPBP/1-139	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Leptospirales;f__Leptospiraceae;g__Leptospira;s__Leptospirabiflexa	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Leptospirales	f__Leptospiraceae	g__Leptospira	s__Leptospirabiflexa
B1Y098	tr|B1Y098|B1Y098_LEPCP/1-155	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Sphaerotilaceae;g__Leptothrix;s__Leptothrixcholodnii	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Leptothrix	s__Leptothrixcholodnii
B1ZXF3	tr|B1ZXF3|B1ZXF3_OPITP/1-144	d__Bacteria;p__Verrucomicrobiota;c__Opitutae;o__Opitutales;f__Opitutaceae;g__Opitutus;s__Opitutusterrae	d__Bacteria	p__Verrucomicrobiota	c__Opitutae	o__Opitutales	f__Opitutaceae	g__Opitutus	s__Opitutusterrae
B2A0J2	tr|B2A0J2|B2A0J2_NATTJ/1-137	d__Bacteria;p__Bacillota;c__Clostridia;o__Natranaerobiales;f__Natranaerobiaceae;g__Natranaerobius;s__Natranaerobiusthermophilus	d__Bacteria	p__Bacillota	c__Clostridia	o__Natranaerobiales	f__Natranaerobiaceae	g__Natranaerobius	s__Natranaerobiusthermophilus
B2IG22	tr|B2IG22|B2IG22_BEII9/1-151	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Beijerinckiaceae;g__Beijerinckia;s__Beijerinckiaindica	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Beijerinckiaceae	g__Beijerinckia	s__Beijerinckiaindica
B3DWD3	tr|B3DWD3|B3DWD3_METI4/1-144	d__Bacteria;p__Verrucomicrobiota;c__Methylacidiphilae;o__Methylacidiphilales;f__Methylacidiphilaceae;g__Methylacidiphilum;s__Methylacidiphiluminfernorum	d__Bacteria	p__Verrucomicrobiota	c__Methylacidiphilae	o__Methylacidiphilales	f__Methylacidiphilaceae	g__Methylacidiphilum	s__Methylacidiphiluminfernorum
B3E3B2	tr|B3E3B2|B3E3B2_TRIL1/1-142	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Trichlorobacter;s__Trichlorobacterlovleyi	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfuromonadia	o__Geobacterales	f__Geobacteraceae	g__Trichlorobacter	s__Trichlorobacterlovleyi
B3QQX2	tr|B3QQX2|B3QQX2_CHLP8/1-147	d__Bacteria;p__Chlorobiota;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobaculum;s__Chlorobaculumparvum	d__Bacteria	p__Chlorobiota	c__Chlorobiia	o__Chlorobiales	f__Chlorobiaceae	g__Chlorobaculum	s__Chlorobaculumparvum
B3QLI2	tr|B3QLI2|B3QLI2_CHLP8/1-143	d__Bacteria;p__Chlorobiota;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobaculum;s__Chlorobaculumparvum	d__Bacteria	p__Chlorobiota	c__Chlorobiia	o__Chlorobiales	f__Chlorobiaceae	g__Chlorobaculum	s__Chlorobaculumparvum
B3QU08	tr|B3QU08|B3QU08_CHLT3/10-165	d__Bacteria;p__Chlorobiota;c__Chlorobiia;o__Chlorobiales;f__Chloroherpetonaceae;g__Chloroherpeton;s__Chloroherpetonthalassium	d__Bacteria	p__Chlorobiota	c__Chlorobiia	o__Chlorobiales	f__Chloroherpetonaceae	g__Chloroherpeton	s__Chloroherpetonthalassium
B3QYW2	tr|B3QYW2|B3QYW2_CHLT3/1-147	d__Bacteria;p__Chlorobiota;c__Chlorobiia;o__Chlorobiales;f__Chloroherpetonaceae;g__Chloroherpeton;s__Chloroherpetonthalassium	d__Bacteria	p__Chlorobiota	c__Chlorobiia	o__Chlorobiales	f__Chloroherpetonaceae	g__Chloroherpeton	s__Chloroherpetonthalassium
B4S7W4	tr|B4S7W4|B4S7W4_PROA2/1-144	d__Bacteria;p__Chlorobiota;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;g__Prosthecochloris;s__Prosthecochlorisaestuarii	d__Bacteria	p__Chlorobiota	c__Chlorobiia	o__Chlorobiales	f__Chlorobiaceae	g__Prosthecochloris	s__Prosthecochlorisaestuarii
B4S8M7	tr|B4S8M7|B4S8M7_PROA2/1-148	d__Bacteria;p__Chlorobiota;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;g__Prosthecochloris;s__Prosthecochlorisaestuarii	d__Bacteria	p__Chlorobiota	c__Chlorobiia	o__Chlorobiales	f__Chlorobiaceae	g__Prosthecochloris	s__Prosthecochlorisaestuarii
B4R9T7	tr|B4R9T7|B4R9T7_PHEZH/1-151	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__Phenylobacteriumzucineum	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	s__Phenylobacteriumzucineum
B5YCM4	tr|B5YCM4|B5YCM4_DICT6/1-152	d__Bacteria;p__Dictyoglomota;c__Dictyoglomia;o__Dictyoglomales;f__Dictyoglomaceae;g__Dictyoglomus;s__Dictyoglomusthermophilum	d__Bacteria	p__Dictyoglomota	c__Dictyoglomia	o__Dictyoglomales	f__Dictyoglomaceae	g__Dictyoglomus	s__Dictyoglomusthermophilum
B7GI01	tr|B7GI01|B7GI01_ANOFW/1-138	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Anoxybacillus;s__Anoxybacillusflavithermus	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Anoxybacillus	s__Anoxybacillusflavithermus
B8DZ86	tr|B8DZ86|B8DZ86_DICTD/1-152	d__Bacteria;p__Dictyoglomota;c__Dictyoglomia;o__Dictyoglomales;f__Dictyoglomaceae;g__Dictyoglomus;s__Dictyoglomusturgidum	d__Bacteria	p__Dictyoglomota	c__Dictyoglomia	o__Dictyoglomales	f__Dictyoglomaceae	g__Dictyoglomus	s__Dictyoglomusturgidum
B8FCX2	tr|B8FCX2|B8FCX2_DESAL/1-149	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfatibacillaceae;g__Desulfatibacillum;s__	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfobacteria	o__Desulfobacterales	f__Desulfatibacillaceae	g__Desulfatibacillum	s__
B8FCX3	tr|B8FCX3|B8FCX3_DESAL/1-146	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfatibacillaceae;g__Desulfatibacillum;s__	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfobacteria	o__Desulfobacterales	f__Desulfatibacillaceae	g__Desulfatibacillum	s__
