ID	lineage	domain	phylum	class	order	family	genus	species
tr|Q30UA1|Q30UA1_SULDN/1-117	d__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfurimonas;s__Sulfurimonasdenitrificans	d__Bacteria	p__Campylobacterota	c__Epsilonproteobacteria	o__Campylobacterales	f__Sulfurimonadaceae	g__Sulfurimonas	s__Sulfurimonasdenitrificans
tr|Q2RSV3|Q2RSV3_RHORT/1-139	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Rhodospirillum;s__Rhodospirillumrubrum	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__Rhodospirillum	s__Rhodospirillumrubrum
tr|Q28QJ3|Q28QJ3_JANSC/1-140	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Jannaschia;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Roseobacteraceae	g__Jannaschia	s__
tr|Q28N31|Q28N31_JANSC/1-115	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Jannaschia;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Roseobacteraceae	g__Jannaschia	s__
tr|Q21MB7|Q21MB7_SACD2/1-117	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Cellvibrionales;f__Cellvibrionaceae;g__Saccharophagus;s__Saccharophagusdegradans	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Cellvibrionales	f__Cellvibrionaceae	g__Saccharophagus	s__Saccharophagusdegradans
tr|Q21BP6|Q21BP6_RHOPB/1-142	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Rhodopseudomonas;s__Rhodopseudomonaspalustris	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Nitrobacteraceae	g__Rhodopseudomonas	s__Rhodopseudomonaspalustris
tr|Q1QWB0|Q1QWB0_CHRSD/1-115	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Oceanospirillales;f__Halomonadaceae;g__Chromohalobacter;s__Chromohalobactersalexigens	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Chromohalobacter	s__Chromohalobactersalexigens
tr|Q1QL61|Q1QL61_NITHX/1-132	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Nitrobacter;s__Nitrobacterhamburgensis	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Nitrobacteraceae	g__Nitrobacter	s__Nitrobacterhamburgensis
tr|Q1QFI4|Q1QFI4_NITHX/1-134	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Nitrobacter;s__Nitrobacterhamburgensis	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Nitrobacteraceae	g__Nitrobacter	s__Nitrobacterhamburgensis
tr|Q1QAQ9|Q1QAQ9_PSYCK/1-134	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobactercryohalolentis	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Moraxellales	f__Moraxellaceae	g__Psychrobacter	s__Psychrobactercryohalolentis
tr|Q1GS34|Q1GS34_SPHAL/1-114	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__Sphingopyxisalaskensis	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingopyxis	s__Sphingopyxisalaskensis
tr|Q1GQG0|Q1GQG0_SPHAL/1-142	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__Sphingopyxisalaskensis	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingopyxis	s__Sphingopyxisalaskensis
tr|Q1GQ27|Q1GQ27_SPHAL/1-143	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__Sphingopyxisalaskensis	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingopyxis	s__Sphingopyxisalaskensis
tr|A0A0H2XZF3|A0A0H2XZF3_BURO1/1-119	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderiaorbicola	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Burkholderia	s__Burkholderiaorbicola
tr|A0A0H2YFZ7|A0A0H2YFZ7_YERPN/1-118	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Yersinia;s__Yersiniapestis	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Yersiniaceae	g__Yersinia	s__Yersiniapestis
tr|A0A9J9BAY7|A0A9J9BAY7_PSEA6/1-123	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Paraglaciecola;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Alteromonadales	f__Alteromonadaceae	g__Paraglaciecola	s__
tr|A0A6N4SR67|A0A6N4SR67_CYTH3/1-112	d__Bacteria;p__Bacteroidota;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Cytophaga;s__Cytophagahutchinsonii	d__Bacteria	p__Bacteroidota	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__Cytophaga	s__Cytophagahutchinsonii
tr|Q11N24|Q11N24_CHESB/1-138	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__Chelativorans;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Phyllobacteriaceae	g__Chelativorans	s__
tr|Q11LJ7|Q11LJ7_CHESB/1-141	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__Chelativorans;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Phyllobacteriaceae	g__Chelativorans	s__
tr|Q0I363|Q0I363_HISS1/1-116	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Histophilus;s__Histophilussomni	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	g__Histophilus	s__Histophilussomni
tr|Q0BVR6|Q0BVR6_GRABC/1-125	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Granulibacter;s__Granulibacterbethesdensis	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodospirillales	f__Acetobacteraceae	g__Granulibacter	s__Granulibacterbethesdensis
tr|Q0AKM9|Q0AKM9_MARMM/1-117	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Maricaulales;f__Maricaulaceae;g__Maricaulis;s__Maricaulismaris	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Maricaulales	f__Maricaulaceae	g__Maricaulis	s__Maricaulismaris
tr|Q0BWD9|Q0BWD9_HYPNA/1-115	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomonadales;f__Hyphomonadaceae;g__Hyphomonas;s__Hyphomonasneptunium	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomonadales	f__Hyphomonadaceae	g__Hyphomonas	s__Hyphomonasneptunium
tr|Q0C3H8|Q0C3H8_HYPNA/1-139	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomonadales;f__Hyphomonadaceae;g__Hyphomonas;s__Hyphomonasneptunium	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomonadales	f__Hyphomonadaceae	g__Hyphomonas	s__Hyphomonasneptunium
tr|A0L4C0|A0L4C0_MAGMM/1-116	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Magnetococcales;f__Magnetococcaceae;g__Magnetococcus;s__Magnetococcusmarinus	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Magnetococcales	f__Magnetococcaceae	g__Magnetococcus	s__Magnetococcusmarinus
tr|A1AVZ5|A1AVZ5_RUTMC/1-115	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__;f__;g__CandidatusRuthturnera;s__CandidatusRuthturneracalyptogenae	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__	f__	g__CandidatusRuthturnera	s__CandidatusRuthturneracalyptogenae
tr|A1AYI5|A1AYI5_PARDP/1-142	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Paracoccaceae;g__Paracoccus;s__Paracoccusdenitrificans	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Paracoccaceae	g__Paracoccus	s__Paracoccusdenitrificans
tr|A1B4B9|A1B4B9_PARDP/1-114	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Paracoccaceae;g__Paracoccus;s__Paracoccusdenitrificans	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Paracoccaceae	g__Paracoccus	s__Paracoccusdenitrificans
tr|A1B6S2|A1B6S2_PARDP/1-141	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Paracoccaceae;g__Paracoccus;s__Paracoccusdenitrificans	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Paracoccaceae	g__Paracoccus	s__Paracoccusdenitrificans
tr|A1STU7|A1STU7_PSYIN/1-118	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Alteromonadales;f__Psychromonadaceae;g__Psychromonas;s__Psychromonasingrahamii	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Alteromonadales	f__Psychromonadaceae	g__Psychromonas	s__Psychromonasingrahamii
tr|A1TKM5|A1TKM5_PARC0/6-125	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Paracidovorax;s__Paracidovoraxcitrulli	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Paracidovorax	s__Paracidovoraxcitrulli
tr|A1VQG1|A1VQG1_POLNA/1-143	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Polaromonas;s__Polaromonasnaphthalenivorans	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Polaromonas	s__Polaromonasnaphthalenivorans
tr|A0A9J9HBW1|A0A9J9HBW1_RHIWR/1-144	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Rhizorhabdus;s__Rhizorhabduswittichii	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Rhizorhabdus	s__Rhizorhabduswittichii
tr|A0A9J9HGH5|A0A9J9HGH5_RHIWR/1-112	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Rhizorhabdus;s__Rhizorhabduswittichii	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Rhizorhabdus	s__Rhizorhabduswittichii
tr|A6T3M2|A6T3M2_JANMA/1-123	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Janthinobacterium;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Janthinobacterium	s__
tr|A6X3V3|A6X3V3_BRUA4/1-141	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Brucellaceae;g__Brucella;s__Brucellaanthropi	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Brucellaceae	g__Brucella	s__Brucellaanthropi
tr|A7HQ78|A7HQ78_PARL1/1-116	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Parvibaculaceae;g__Parvibaculum;s__Parvibaculumlavamentivorans	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Parvibaculaceae	g__Parvibaculum	s__Parvibaculumlavamentivorans
tr|A7IDN4|A7IDN4_XANP2/3-145	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Xanthobacteraceae;g__Xanthobacter;s__Xanthobacterautotrophicus	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Xanthobacteraceae	g__Xanthobacter	s__Xanthobacterautotrophicus
tr|A7IME7|A7IME7_XANP2/3-144	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Xanthobacteraceae;g__Xanthobacter;s__Xanthobacterautotrophicus	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Xanthobacteraceae	g__Xanthobacter	s__Xanthobacterautotrophicus
tr|A8LRE1|A8LRE1_DINSH/1-115	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Dinoroseobacter;s__Dinoroseobactershibae	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Roseobacteraceae	g__Dinoroseobacter	s__Dinoroseobactershibae
tr|A9BR79|A9BR79_DELAS/1-140	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Delftia;s__Delftiaacidovorans	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Delftia	s__Delftiaacidovorans
tr|A9BTF9|A9BTF9_DELAS/1-143	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Delftia;s__Delftiaacidovorans	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Delftia	s__Delftiaacidovorans
tr|B0BQ26|B0BQ26_ACTPJ/1-134	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Actinobacillus;s__Actinobacilluspleuropneumoniae	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	g__Actinobacillus	s__Actinobacilluspleuropneumoniae
tr|B0U0E1|B0U0E1_FRAP2/1-139	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Francisellaceae;g__Francisella;s__Francisellaphilomiragia	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Thiotrichales	f__Francisellaceae	g__Francisella	s__Francisellaphilomiragia
tr|B2IEL6|B2IEL6_BEII9/1-116	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Beijerinckiaceae;g__Beijerinckia;s__Beijerinckiaindica	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Beijerinckiaceae	g__Beijerinckia	s__Beijerinckiaindica
tr|B3PJS3|B3PJS3_CELJU/1-114	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Cellvibrionales;f__Cellvibrionaceae;g__Cellvibrio;s__Cellvibriojaponicus	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Cellvibrionales	f__Cellvibrionaceae	g__Cellvibrio	s__Cellvibriojaponicus
tr|B4RGP7|B4RGP7_PHEZH/10-126	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__Phenylobacteriumzucineum	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	s__Phenylobacteriumzucineum
tr|B4R9T5|B4R9T5_PHEZH/2-136	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__Phenylobacteriumzucineum	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	s__Phenylobacteriumzucineum
tr|B5FGY0|B5FGY0_ALIFM/1-116	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Aliivibrio;s__Aliivibriofischeri	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Vibrionales	f__Vibrionaceae	g__Aliivibrio	s__Aliivibriofischeri
tr|B8EL89|B8EL89_METSB/1-141	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Beijerinckiaceae;g__Methylocella;s__Methylocellasilvestris	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Beijerinckiaceae	g__Methylocella	s__Methylocellasilvestris
tr|C4LAC5|C4LAC5_TOLAT/1-141	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Tolumonas;s__Tolumonasauensis	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Aeromonadales	f__Aeromonadaceae	g__Tolumonas	s__Tolumonasauensis
tr|C6CC62|C6CC62_MUSP7/1-118	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Musicola;s__Musicolaparadisiaca	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Pectobacteriaceae	g__Musicola	s__Musicolaparadisiaca
tr|C6CCN8|C6CCN8_MUSP7/1-142	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Musicola;s__Musicolaparadisiaca	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Pectobacteriaceae	g__Musicola	s__Musicolaparadisiaca
tr|C6DBR4|C6DBR4_PECCP/6-123	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacteriumcarotovorum	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Pectobacteriaceae	g__Pectobacterium	s__Pectobacteriumcarotovorum
tr|C6X6R5|C6X6R5_METGS/1-116	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Nitrosomonadales;f__Methylophilaceae;g__Methylovorus;s__Methylovorusglucosotrophus	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Methylophilaceae	g__Methylovorus	s__Methylovorusglucosotrophus
tr|C6XL56|C6XL56_HIRBI/1-131	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomonadales;f__Hyphomonadaceae;g__Hirschia;s__Hirschiabaltica	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomonadales	f__Hyphomonadaceae	g__Hirschia	s__Hirschiabaltica
tr|C7M8P7|C7M8P7_CAPOD/1-113	d__Bacteria;p__Bacteroidota;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__Capnocytophagaochracea	d__Bacteria	p__Bacteroidota	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Capnocytophaga	s__Capnocytophagaochracea
tr|C7RCQ6|C7RCQ6_KANKD/1-117	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Kangiellales;f__Kangiellaceae;g__Kangiella;s__Kangiellakoreensis	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Kangiellales	f__Kangiellaceae	g__Kangiella	s__Kangiellakoreensis
tr|D0L732|D0L732_GORB4/1-113	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Gordoniaceae;g__Gordonia;s__Gordoniabronchialis	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Gordoniaceae	g__Gordonia	s__Gordoniabronchialis
tr|D1A8S6|D1A8S6_THECD/1-117	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Thermomonosporaceae;g__Thermomonospora;s__Thermomonosporacurvata	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Streptosporangiales	f__Thermomonosporaceae	g__Thermomonospora	s__Thermomonosporacurvata
tr|D2B6I4|D2B6I4_STRRD/1-115	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__Streptosporangium;s__Streptosporangiumroseum	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Streptosporangiales	f__Streptosporangiaceae	g__Streptosporangium	s__Streptosporangiumroseum
tr|D3PZQ1|D3PZQ1_STANL/1-115	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Glycomycetales;f__Glycomycetaceae;g__Stackebrandtia;s__Stackebrandtianassauensis	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Glycomycetales	f__Glycomycetaceae	g__Stackebrandtia	s__Stackebrandtianassauensis
tr|D5BCX6|D5BCX6_ZUNPS/1-113	d__Bacteria;p__Bacteroidota;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Zunongwangia;s__Zunongwangiaprofunda	d__Bacteria	p__Bacteroidota	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Zunongwangia	s__Zunongwangiaprofunda
tr|D5VK30|D5VK30_CAUST/4-141	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__Caulobactersegnis	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Caulobacter	s__Caulobactersegnis
tr|D5VK91|D5VK91_CAUST/4-141	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__Caulobactersegnis	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Caulobacter	s__Caulobactersegnis
tr|D5VM96|D5VM96_CAUST/4-137	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__Caulobactersegnis	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Caulobacter	s__Caulobactersegnis
